moduleID,module_current,time(s)
cpu0,0,1e-08
mem0,0,1e-08
mem1,0,1e-08
cpu0,2.22222e+08,2e-08
mem0,4.44444e+06,2e-08
mem1,5.55556e+06,2e-08
cpu0,2.22222e+08,3e-08
mem0,4.44444e+06,3e-08
mem1,5.55556e+06,3e-08
cpu0,2.22222e+08,4e-08
mem0,4.44444e+06,4e-08
mem1,5.55556e+06,4e-08
cpu0,2.22222e+08,5e-08
mem0,4.44444e+06,5e-08
mem1,5.55556e+06,5e-08
cpu0,2.22222e+08,6e-08
mem0,4.44444e+06,6e-08
mem1,5.55556e+06,6e-08
cpu0,3.33333e+08,7e-08
mem0,4.44444e+06,7e-08
mem1,1e+07,7e-08
cpu0,2.22222e+08,8e-08
mem0,4.44444e+06,8e-08
mem1,5.55556e+06,8e-08
cpu0,2.22222e+08,9e-08
mem0,4.44444e+06,9e-08
mem1,5.55556e+06,9e-08
cpu0,2.22222e+08,1e-07
mem0,4.44444e+06,1e-07
mem1,5.55556e+06,1e-07
cpu0,2.22222e+08,1.1e-07
mem0,4.44444e+06,1.1e-07
mem1,5.55556e+06,1.1e-07
cpu0,3.33333e+08,1.2e-07
mem0,6.66667e+06,1.2e-07
mem1,5.55556e+06,1.2e-07
cpu0,2.22222e+08,1.3e-07
mem0,4.44444e+06,1.3e-07
mem1,5.55556e+06,1.3e-07
cpu0,2.22222e+08,1.4e-07
mem0,4.44444e+06,1.4e-07
mem1,5.55556e+06,1.4e-07
cpu0,2.22222e+08,1.5e-07
mem0,4.44444e+06,1.5e-07
mem1,5.55556e+06,1.5e-07
cpu0,2.22222e+08,1.6e-07
mem0,4.44444e+06,1.6e-07
mem1,5.55556e+06,1.6e-07
cpu0,1.22222e+08,1.7e-07
mem0,4.44444e+06,1.7e-07
mem1,1e+07,1.7e-07
cpu0,1.11111e+07,1.8e-07
mem0,4.44444e+06,1.8e-07
mem1,5.55556e+06,1.8e-07
cpu0,1.11111e+07,1.9e-07
mem0,4.44444e+06,1.9e-07
mem1,5.55556e+06,1.9e-07
cpu0,1.11111e+07,2e-07
mem0,4.44444e+06,2e-07
mem1,5.55556e+06,2e-07
cpu0,1.11111e+07,2.1e-07
mem0,4.44444e+06,2.1e-07
mem1,5.55556e+06,2.1e-07
cpu0,1.22222e+08,2.2e-07
mem0,6.66667e+06,2.2e-07
mem1,5.55556e+06,2.2e-07
cpu0,1.11111e+07,2.3e-07
mem0,4.44444e+06,2.3e-07
mem1,5.55556e+06,2.3e-07
cpu0,1.11111e+07,2.4e-07
mem0,4.44444e+06,2.4e-07
mem1,5.55556e+06,2.4e-07
cpu0,1.11111e+07,2.5e-07
mem0,4.44444e+06,2.5e-07
mem1,5.55556e+06,2.5e-07
cpu0,1.11111e+07,2.6e-07
mem0,4.44444e+06,2.6e-07
mem1,5.55556e+06,2.6e-07
cpu0,6.66667e+07,2.7e-07
mem0,4.44444e+06,2.7e-07
mem1,7.22222e+06,2.7e-07
cpu0,1.11111e+07,2.8e-07
mem0,4.44444e+06,2.8e-07
mem1,5.55556e+06,2.8e-07
cpu0,1.11111e+07,2.9e-07
mem0,4.44444e+06,2.9e-07
mem1,5.55556e+06,2.9e-07
cpu0,1.11111e+07,3e-07
mem0,4.44444e+06,3e-07
mem1,5.55556e+06,3e-07
cpu0,1.11111e+07,3.1e-07
mem0,4.44444e+06,3.1e-07
mem1,5.55556e+06,3.1e-07
cpu0,1.22222e+08,3.2e-07
mem0,4.44444e+06,3.2e-07
mem1,1e+07,3.2e-07
cpu0,1.11111e+07,3.3e-07
mem0,4.44444e+06,3.3e-07
mem1,5.55556e+06,3.3e-07
cpu0,1.11111e+07,3.4e-07
mem0,4.44444e+06,3.4e-07
mem1,5.55556e+06,3.4e-07
cpu0,1.11111e+07,3.5e-07
mem0,4.44444e+06,3.5e-07
mem1,5.55556e+06,3.5e-07
cpu0,1.11111e+07,3.6e-07
mem0,4.44444e+06,3.6e-07
mem1,5.55556e+06,3.6e-07
cpu0,1.22222e+08,3.7e-07
mem0,4.44444e+06,3.7e-07
mem1,1e+07,3.7e-07
cpu0,1.11111e+07,3.8e-07
mem0,4.44444e+06,3.8e-07
mem1,5.55556e+06,3.8e-07
cpu0,1.11111e+07,3.9e-07
mem0,4.44444e+06,3.9e-07
mem1,5.55556e+06,3.9e-07
cpu0,1.11111e+07,4e-07
mem0,4.44444e+06,4e-07
mem1,5.55556e+06,4e-07
cpu0,1.11111e+07,4.1e-07
mem0,4.44444e+06,4.1e-07
mem1,5.55556e+06,4.1e-07
cpu0,1.22222e+08,4.2e-07
mem0,4.44444e+06,4.2e-07
mem1,1e+07,4.2e-07
cpu0,1.11111e+07,4.3e-07
mem0,4.44444e+06,4.3e-07
mem1,5.55556e+06,4.3e-07
cpu0,1.11111e+07,4.4e-07
mem0,4.44444e+06,4.4e-07
mem1,5.55556e+06,4.4e-07
cpu0,1.11111e+07,4.5e-07
mem0,4.44444e+06,4.5e-07
mem1,5.55556e+06,4.5e-07
cpu0,1.11111e+07,4.6e-07
mem0,4.44444e+06,4.6e-07
mem1,5.55556e+06,4.6e-07
cpu0,6.66667e+07,4.7e-07
mem0,4.44444e+06,4.7e-07
mem1,7.22222e+06,4.7e-07
cpu0,1.11111e+07,4.8e-07
mem0,4.44444e+06,4.8e-07
mem1,5.55556e+06,4.8e-07
cpu0,1.11111e+07,4.9e-07
mem0,4.44444e+06,4.9e-07
mem1,5.55556e+06,4.9e-07
cpu0,1.11111e+07,5e-07
mem0,4.44444e+06,5e-07
mem1,5.55556e+06,5e-07
cpu0,1.11111e+07,5.1e-07
mem0,4.44444e+06,5.1e-07
mem1,5.55556e+06,5.1e-07
cpu0,1.22222e+08,5.2e-07
mem0,6.66667e+06,5.2e-07
mem1,5.55556e+06,5.2e-07
cpu0,1.11111e+07,5.3e-07
mem0,4.44444e+06,5.3e-07
mem1,5.55556e+06,5.3e-07
cpu0,1.11111e+07,5.4e-07
mem0,4.44444e+06,5.4e-07
mem1,5.55556e+06,5.4e-07
cpu0,1.11111e+07,5.5e-07
mem0,4.44444e+06,5.5e-07
mem1,5.55556e+06,5.5e-07
cpu0,1.11111e+07,5.6e-07
mem0,4.44444e+06,5.6e-07
mem1,5.55556e+06,5.6e-07
cpu0,6.66667e+07,5.7e-07
mem0,5.33333e+06,5.7e-07
mem1,5.55556e+06,5.7e-07
cpu0,1.11111e+07,5.8e-07
mem0,4.44444e+06,5.8e-07
mem1,5.55556e+06,5.8e-07
cpu0,1.11111e+07,5.9e-07
mem0,4.44444e+06,5.9e-07
mem1,5.55556e+06,5.9e-07
cpu0,1.11111e+07,6e-07
mem0,4.44444e+06,6e-07
mem1,5.55556e+06,6e-07
cpu0,1.11111e+07,6.1e-07
mem0,4.44444e+06,6.1e-07
mem1,5.55556e+06,6.1e-07
cpu0,6.66667e+07,6.2e-07
mem0,4.44444e+06,6.2e-07
mem1,7.22222e+06,6.2e-07
cpu0,1.11111e+07,6.3e-07
mem0,4.44444e+06,6.3e-07
mem1,5.55556e+06,6.3e-07
cpu0,1.11111e+07,6.4e-07
mem0,4.44444e+06,6.4e-07
mem1,5.55556e+06,6.4e-07
cpu0,1.11111e+07,6.5e-07
mem0,4.44444e+06,6.5e-07
mem1,5.55556e+06,6.5e-07
cpu0,1.11111e+07,6.6e-07
mem0,4.44444e+06,6.6e-07
mem1,5.55556e+06,6.6e-07
cpu0,1.22222e+08,6.7e-07
mem0,6.66667e+06,6.7e-07
mem1,5.55556e+06,6.7e-07
cpu0,1.11111e+07,6.8e-07
mem0,4.44444e+06,6.8e-07
mem1,5.55556e+06,6.8e-07
cpu0,1.11111e+07,6.9e-07
mem0,4.44444e+06,6.9e-07
mem1,5.55556e+06,6.9e-07
cpu0,1.11111e+07,7e-07
mem0,4.44444e+06,7e-07
mem1,5.55556e+06,7e-07
cpu0,1.11111e+07,7.1e-07
mem0,4.44444e+06,7.1e-07
mem1,5.55556e+06,7.1e-07
cpu0,3.33333e+08,7.2e-07
mem0,4.44444e+06,7.2e-07
mem1,1e+07,7.2e-07
cpu0,2.22222e+08,7.3e-07
mem0,4.44444e+06,7.3e-07
mem1,5.55556e+06,7.3e-07
cpu0,2.22222e+08,7.4e-07
mem0,4.44444e+06,7.4e-07
mem1,5.55556e+06,7.4e-07
cpu0,2.22222e+08,7.5e-07
mem0,4.44444e+06,7.5e-07
mem1,5.55556e+06,7.5e-07
cpu0,2.22222e+08,7.6e-07
mem0,4.44444e+06,7.6e-07
mem1,5.55556e+06,7.6e-07
cpu0,3.33333e+08,7.7e-07
mem0,6.66667e+06,7.7e-07
mem1,5.55556e+06,7.7e-07
cpu0,2.22222e+08,7.8e-07
mem0,4.44444e+06,7.8e-07
mem1,5.55556e+06,7.8e-07
cpu0,2.22222e+08,7.9e-07
mem0,4.44444e+06,7.9e-07
mem1,5.55556e+06,7.9e-07
cpu0,2.22222e+08,8e-07
mem0,4.44444e+06,8e-07
mem1,5.55556e+06,8e-07
cpu0,2.22222e+08,8.1e-07
mem0,4.44444e+06,8.1e-07
mem1,5.55556e+06,8.1e-07
cpu0,3.33333e+08,8.2e-07
mem0,4.44444e+06,8.2e-07
mem1,1e+07,8.2e-07
cpu0,2.22222e+08,8.3e-07
mem0,4.44444e+06,8.3e-07
mem1,5.55556e+06,8.3e-07
cpu0,2.22222e+08,8.4e-07
mem0,4.44444e+06,8.4e-07
mem1,5.55556e+06,8.4e-07
cpu0,2.22222e+08,8.5e-07
mem0,4.44444e+06,8.5e-07
mem1,5.55556e+06,8.5e-07
cpu0,2.22222e+08,8.6e-07
mem0,4.44444e+06,8.6e-07
mem1,5.55556e+06,8.6e-07
cpu0,2.77778e+08,8.7e-07
mem0,4.44444e+06,8.7e-07
mem1,7.22222e+06,8.7e-07
cpu0,2.22222e+08,8.8e-07
mem0,4.44444e+06,8.8e-07
mem1,5.55556e+06,8.8e-07
cpu0,2.22222e+08,8.9e-07
mem0,4.44444e+06,8.9e-07
mem1,5.55556e+06,8.9e-07
cpu0,2.22222e+08,9e-07
mem0,4.44444e+06,9e-07
mem1,5.55556e+06,9e-07
cpu0,2.22222e+08,9.1e-07
mem0,4.44444e+06,9.1e-07
mem1,5.55556e+06,9.1e-07
cpu0,2.77778e+08,9.2e-07
mem0,4.44444e+06,9.2e-07
mem1,7.22222e+06,9.2e-07
cpu0,2.22222e+08,9.3e-07
mem0,4.44444e+06,9.3e-07
mem1,5.55556e+06,9.3e-07
cpu0,2.22222e+08,9.4e-07
mem0,4.44444e+06,9.4e-07
mem1,5.55556e+06,9.4e-07
cpu0,2.22222e+08,9.5e-07
mem0,4.44444e+06,9.5e-07
mem1,5.55556e+06,9.5e-07
cpu0,2.22222e+08,9.6e-07
mem0,4.44444e+06,9.6e-07
mem1,5.55556e+06,9.6e-07
cpu0,2.77778e+08,9.7e-07
mem0,4.44444e+06,9.7e-07
mem1,7.22222e+06,9.7e-07
cpu0,2.22222e+08,9.8e-07
mem0,4.44444e+06,9.8e-07
mem1,5.55556e+06,9.8e-07
cpu0,2.22222e+08,9.9e-07
mem0,4.44444e+06,9.9e-07
mem1,5.55556e+06,9.9e-07
cpu0,2.22222e+08,1e-06
mem0,4.44444e+06,1e-06
mem1,5.55556e+06,1e-06
cpu0,2.22222e+08,1.01e-06
mem0,4.44444e+06,1.01e-06
mem1,5.55556e+06,1.01e-06
cpu0,2.77778e+08,1.02e-06
mem0,4.44444e+06,1.02e-06
mem1,7.22222e+06,1.02e-06
cpu0,2.22222e+08,1.03e-06
mem0,4.44444e+06,1.03e-06
mem1,5.55556e+06,1.03e-06
cpu0,2.22222e+08,1.04e-06
mem0,4.44444e+06,1.04e-06
mem1,5.55556e+06,1.04e-06
cpu0,2.22222e+08,1.05e-06
mem0,4.44444e+06,1.05e-06
mem1,5.55556e+06,1.05e-06
cpu0,2.22222e+08,1.06e-06
mem0,4.44444e+06,1.06e-06
mem1,5.55556e+06,1.06e-06
cpu0,2.77778e+08,1.07e-06
mem0,5.33333e+06,1.07e-06
mem1,5.55556e+06,1.07e-06
cpu0,2.22222e+08,1.08e-06
mem0,4.44444e+06,1.08e-06
mem1,5.55556e+06,1.08e-06
cpu0,2.22222e+08,1.09e-06
mem0,4.44444e+06,1.09e-06
mem1,5.55556e+06,1.09e-06
cpu0,2.22222e+08,1.1e-06
mem0,4.44444e+06,1.1e-06
mem1,5.55556e+06,1.1e-06
cpu0,2.22222e+08,1.11e-06
mem0,4.44444e+06,1.11e-06
mem1,5.55556e+06,1.11e-06
cpu0,3.33333e+08,1.12e-06
mem0,4.44444e+06,1.12e-06
mem1,4.445e+06,1.12e-06
cpu0,2.22222e+08,1.13e-06
mem0,4.44444e+06,1.13e-06
mem1,555.556,1.13e-06
cpu0,2.22222e+08,1.14e-06
mem0,4.44444e+06,1.14e-06
mem1,555.556,1.14e-06
cpu0,2.22222e+08,1.15e-06
mem0,4.44444e+06,1.15e-06
mem1,555.556,1.15e-06
cpu0,2.22222e+08,1.16e-06
mem0,4.44444e+06,1.16e-06
mem1,555.556,1.16e-06
cpu0,3.33333e+08,1.17e-06
mem0,4.44444e+06,1.17e-06
mem1,4.445e+06,1.17e-06
cpu0,2.22222e+08,1.18e-06
mem0,4.44444e+06,1.18e-06
mem1,555.556,1.18e-06
cpu0,2.22222e+08,1.19e-06
mem0,4.44444e+06,1.19e-06
mem1,555.556,1.19e-06
cpu0,2.22222e+08,1.2e-06
mem0,4.44444e+06,1.2e-06
mem1,555.556,1.2e-06
cpu0,2.22222e+08,1.21e-06
mem0,4.44444e+06,1.21e-06
mem1,555.556,1.21e-06
cpu0,2.77778e+08,1.22e-06
mem0,5.33333e+06,1.22e-06
mem1,555.556,1.22e-06
cpu0,2.22222e+08,1.23e-06
mem0,4.44444e+06,1.23e-06
mem1,555.556,1.23e-06
cpu0,2.22222e+08,1.24e-06
mem0,4.44444e+06,1.24e-06
mem1,555.556,1.24e-06
cpu0,2.22222e+08,1.25e-06
mem0,4.44444e+06,1.25e-06
mem1,555.556,1.25e-06
cpu0,2.22222e+08,1.26e-06
mem0,4.44444e+06,1.26e-06
mem1,555.556,1.26e-06
cpu0,1.22222e+08,1.27e-06
mem0,6.66667e+06,1.27e-06
mem1,555.556,1.27e-06
cpu0,1.11111e+07,1.28e-06
mem0,4.44444e+06,1.28e-06
mem1,555.556,1.28e-06
cpu0,1.11111e+07,1.29e-06
mem0,4.44444e+06,1.29e-06
mem1,555.556,1.29e-06
cpu0,1.11111e+07,1.3e-06
mem0,4.44444e+06,1.3e-06
mem1,555.556,1.3e-06
cpu0,1.11111e+07,1.31e-06
mem0,4.44444e+06,1.31e-06
mem1,555.556,1.31e-06
cpu0,6.66667e+07,1.32e-06
mem0,4.44444e+06,1.32e-06
mem1,1.66722e+06,1.32e-06
cpu0,1.11111e+07,1.33e-06
mem0,4.44444e+06,1.33e-06
mem1,555.556,1.33e-06
cpu0,1.11111e+07,1.34e-06
mem0,4.44444e+06,1.34e-06
mem1,555.556,1.34e-06
cpu0,1.11111e+07,1.35e-06
mem0,4.44444e+06,1.35e-06
mem1,555.556,1.35e-06
cpu0,1.11111e+07,1.36e-06
mem0,4.44444e+06,1.36e-06
mem1,555.556,1.36e-06
cpu0,1.22222e+08,1.37e-06
mem0,6.66667e+06,1.37e-06
mem1,555.556,1.37e-06
cpu0,1.11111e+07,1.38e-06
mem0,4.44444e+06,1.38e-06
mem1,555.556,1.38e-06
cpu0,1.11111e+07,1.39e-06
mem0,4.44444e+06,1.39e-06
mem1,555.556,1.39e-06
cpu0,1.11111e+07,1.4e-06
mem0,4.44444e+06,1.4e-06
mem1,555.556,1.4e-06
cpu0,1.11111e+07,1.41e-06
mem0,4.44444e+06,1.41e-06
mem1,555.556,1.41e-06
cpu0,6.66667e+07,1.42e-06
mem0,5.33333e+06,1.42e-06
mem1,555.556,1.42e-06
cpu0,1.11111e+07,1.43e-06
mem0,4.44444e+06,1.43e-06
mem1,555.556,1.43e-06
cpu0,1.11111e+07,1.44e-06
mem0,4.44444e+06,1.44e-06
mem1,555.556,1.44e-06
cpu0,1.11111e+07,1.45e-06
mem0,4.44444e+06,1.45e-06
mem1,555.556,1.45e-06
cpu0,1.11111e+07,1.46e-06
mem0,4.44444e+06,1.46e-06
mem1,555.556,1.46e-06
cpu0,3.33333e+08,1.47e-06
mem0,6.66667e+06,1.47e-06
mem1,555.556,1.47e-06
cpu0,2.22222e+08,1.48e-06
mem0,4.44444e+06,1.48e-06
mem1,555.556,1.48e-06
cpu0,2.22222e+08,1.49e-06
mem0,4.44444e+06,1.49e-06
mem1,555.556,1.49e-06
cpu0,2.22222e+08,1.5e-06
mem0,4.44444e+06,1.5e-06
mem1,555.556,1.5e-06
cpu0,2.22222e+08,1.51e-06
mem0,4.44444e+06,1.51e-06
mem1,555.556,1.51e-06
cpu0,2.77778e+08,1.52e-06
mem0,4.44444e+06,1.52e-06
mem1,1.66722e+06,1.52e-06
cpu0,2.22222e+08,1.53e-06
mem0,4.44444e+06,1.53e-06
mem1,555.556,1.53e-06
cpu0,2.22222e+08,1.54e-06
mem0,4.44444e+06,1.54e-06
mem1,555.556,1.54e-06
cpu0,2.22222e+08,1.55e-06
mem0,4.44444e+06,1.55e-06
mem1,555.556,1.55e-06
cpu0,2.22222e+08,1.56e-06
mem0,4.44444e+06,1.56e-06
mem1,555.556,1.56e-06
cpu0,3.33333e+08,1.57e-06
mem0,6.66667e+06,1.57e-06
mem1,555.556,1.57e-06
cpu0,2.22222e+08,1.58e-06
mem0,4.44444e+06,1.58e-06
mem1,555.556,1.58e-06
cpu0,2.22222e+08,1.59e-06
mem0,4.44444e+06,1.59e-06
mem1,555.556,1.59e-06
cpu0,2.22222e+08,1.6e-06
mem0,4.44444e+06,1.6e-06
mem1,555.556,1.6e-06
cpu0,2.22222e+08,1.61e-06
mem0,4.44444e+06,1.61e-06
mem1,555.556,1.61e-06
cpu0,2.77778e+08,1.62e-06
mem0,5.33333e+06,1.62e-06
mem1,555.556,1.62e-06
cpu0,2.22222e+08,1.63e-06
mem0,4.44444e+06,1.63e-06
mem1,555.556,1.63e-06
cpu0,2.22222e+08,1.64e-06
mem0,4.44444e+06,1.64e-06
mem1,555.556,1.64e-06
cpu0,2.22222e+08,1.65e-06
mem0,4.44444e+06,1.65e-06
mem1,555.556,1.65e-06
cpu0,2.22222e+08,1.66e-06
mem0,4.44444e+06,1.66e-06
mem1,555.556,1.66e-06
cpu0,3.33333e+08,1.67e-06
mem0,6.66667e+06,1.67e-06
mem1,555.556,1.67e-06
cpu0,2.22222e+08,1.68e-06
mem0,4.44444e+06,1.68e-06
mem1,555.556,1.68e-06
cpu0,2.22222e+08,1.69e-06
mem0,4.44444e+06,1.69e-06
mem1,555.556,1.69e-06
cpu0,2.22222e+08,1.7e-06
mem0,4.44444e+06,1.7e-06
mem1,555.556,1.7e-06
cpu0,2.22222e+08,1.71e-06
mem0,4.44444e+06,1.71e-06
mem1,555.556,1.71e-06
cpu0,3.33333e+08,1.72e-06
mem0,6.66667e+06,1.72e-06
mem1,555.556,1.72e-06
cpu0,2.22222e+08,1.73e-06
mem0,4.44444e+06,1.73e-06
mem1,555.556,1.73e-06
cpu0,2.22222e+08,1.74e-06
mem0,4.44444e+06,1.74e-06
mem1,555.556,1.74e-06
cpu0,2.22222e+08,1.75e-06
mem0,4.44444e+06,1.75e-06
mem1,555.556,1.75e-06
cpu0,2.22222e+08,1.76e-06
mem0,4.44444e+06,1.76e-06
mem1,555.556,1.76e-06
cpu0,2.77778e+08,1.77e-06
mem0,5.33333e+06,1.77e-06
mem1,555.556,1.77e-06
cpu0,2.22222e+08,1.78e-06
mem0,4.44444e+06,1.78e-06
mem1,555.556,1.78e-06
cpu0,2.22222e+08,1.79e-06
mem0,4.44444e+06,1.79e-06
mem1,555.556,1.79e-06
cpu0,2.22222e+08,1.8e-06
mem0,4.44444e+06,1.8e-06
mem1,555.556,1.8e-06
cpu0,2.22222e+08,1.81e-06
mem0,4.44444e+06,1.81e-06
mem1,555.556,1.81e-06
cpu0,2.77778e+08,1.82e-06
mem0,4.44444e+06,1.82e-06
mem1,1.66722e+06,1.82e-06
cpu0,2.22222e+08,1.83e-06
mem0,4.44444e+06,1.83e-06
mem1,555.556,1.83e-06
cpu0,2.22222e+08,1.84e-06
mem0,4.44444e+06,1.84e-06
mem1,555.556,1.84e-06
cpu0,2.22222e+08,1.85e-06
mem0,4.44444e+06,1.85e-06
mem1,555.556,1.85e-06
cpu0,2.22222e+08,1.86e-06
mem0,4.44444e+06,1.86e-06
mem1,555.556,1.86e-06
cpu0,3.33333e+08,1.87e-06
mem0,4.44444e+06,1.87e-06
mem1,4.445e+06,1.87e-06
cpu0,2.22222e+08,1.88e-06
mem0,4.44444e+06,1.88e-06
mem1,555.556,1.88e-06
cpu0,2.22222e+08,1.89e-06
mem0,4.44444e+06,1.89e-06
mem1,555.556,1.89e-06
cpu0,2.22222e+08,1.9e-06
mem0,4.44444e+06,1.9e-06
mem1,555.556,1.9e-06
cpu0,2.22222e+08,1.91e-06
mem0,4.44444e+06,1.91e-06
mem1,555.556,1.91e-06
cpu0,3.33333e+08,1.92e-06
mem0,6.66667e+06,1.92e-06
mem1,555.556,1.92e-06
cpu0,2.22222e+08,1.93e-06
mem0,4.44444e+06,1.93e-06
mem1,555.556,1.93e-06
cpu0,2.22222e+08,1.94e-06
mem0,4.44444e+06,1.94e-06
mem1,555.556,1.94e-06
cpu0,2.22222e+08,1.95e-06
mem0,4.44444e+06,1.95e-06
mem1,555.556,1.95e-06
cpu0,2.22222e+08,1.96e-06
mem0,4.44444e+06,1.96e-06
mem1,555.556,1.96e-06
cpu0,3.33333e+08,1.97e-06
